District,Region,Population,Total_households,Population_density,Zonning,Avg_Age,literacy_rate_%,people_per_household,Employment_rate,speed_test_count,tests_per_population,latitude,longitude,rwi,error
KAMPALA,Central,"1,680,600","462,400",229,urban,15.9,75,3.6,69.5,6629,0.39%,0.3186019,32.6403809,1.492,0.444
BUIKWE,Central,"474,100","114,100",366.4,town,16,75,4.2,65,155,0.03%,0.2746571,33.1237793,-0.402,0.387
WAKISO ,Central,"2,915,200","730,800","1,500",urban,17,81,4,35,2116,0.07%,,,1.121,
GULU,Northern,"325,600","65,600",89.1,urban,17,75,5,67.4,341,0.10%,2.8881803,32.2229004,0.062,0.348
MUKONO,Central,"701,400","174,900",379.1,Mixed,17,75,4,66,119,0.02%,0.6481795,32.9040527,-0.268,0.393
ARUA,Northern,"751,000","141,200",323.8,Mixed,15.9,55,5.3,71,238,0.03%,2.800398,30.970459,-0.111,0.332
MBALE,Eastern,"586,300","135,000",588.3,Mixed,17,67.4,4.3,72.30%,44,0.01%,1.0216743,34.1564941,-0.366,0.366
SOROTI,Eastern,"363,600","69,900",148.3,Mixed,16,64.2,5.2,70.30%,2,0.00%,1.7685179,33.6730957,-0.566,0.333
BUDUDA,Eastern,"271,100","50,000",259.5,Mixed,16,56.7,5.4,62.50%,2,0.00%,0.9997051,34.3981934,-0.524,0.321
BUGIRI,Eastern,"480,400","99,200",371.5,Mixed,17,67.9,4.8,74.10%,3,0.00%,0.5822654,33.6730957,-0.117,0.329
BUSIA,Eastern,"384,000","80,725",355.2,Mixed,17,67.6,4.8,73.50%,161,0.04%,0.4943786,33.9367676,-0.104,0.317
IGANGA,Eastern,"402,600","86,300",437.6,Mixed,17,68.8,4.7,72.10%,2,0.00%,0.7360637,33.4313965,-0.234,0.345
JINJA,Eastern,"515,100","115,400",434.7,Mixed,17,72.4,4.5,73.60%,178,0.03%,0.5822654,33.1018066,-0.124,0.376
KALIRO,Eastern,"288,500","55,700",286.6,Mixed,17,62.5,5.2,68.40%,5,0.00%,1.1315182,33.3654785,-0.352,0.403
TORORO,Eastern,"597,500","118,800",354.8,Mixed,15,66.6,5,68.20%,3,0.00%,0.7360637,33.9147949,-0.211,0.318
LWENGO,Central,"290,500","68,600",284,mixed,14,72,4.2,65,1,0.00%,-0.5383221,31.4538574,0.301,0.401
KALANGULA ,Central,"70,760","24,700",148.7,mixed,16,82,2.9,68,1,0.00%,,,0.007,
BULIISA,Western,"474,100","28,900",286.4,Rural,16,72,16.4,78,12,0.00%,2.0540032,31.4758301,-0.1,0.458
HOIMA,Western,"374,500","83,100",114,Mixed,17,68,4.5,65,9,0.00%,1.5269188,31.3879395,-0.285,0.375
ISINGIRO,Western,"596,400","125,100",209.6,Urban,15.9,67.88,4.8,76,4,0.00%,-0.9557662,30.904541,-0.643,0.348
KABALE,Western,"248,700","56,100",140.2,Town,17,62,4.4,66.9,35,0.01%,-1.3731595,30.0476074,-0.045,0.336
KABAROLE,Western,"337,800","80,400",177.7,Mixed,15.9,63,4.2,66.9,42,0.01%,0.6481795,30.201416,-0.293,0.355
KAGADI,Western,"430,200","91,100",304.9,Mixed,17,67.8,4.7,66.9,2,0.00%,1.0436434,31.1022949,-0.113,0.345
KAMWENGE,Western,"335,200","72,400",195.7,Rural,15.9,63,4.6,66.9,43,0.01%,0.3405742,30.4870605,-0.351,0.363
KANUNGU,Western,"178,300","61,800",207.9,Mixed,15.9,72,2.9,66.9,6,0.00%,-0.7360637,29.7839355,-0.335,0.33
KASESE,Western,"793,200","166,600",223.8,Mixed,15,68,4.8,66.9,165,0.02%,0.2526847,30.2233887,-0.398,0.348
KIRYANDONGO,Western,"178,300","64,900",81.9,Rural,15.9,67.88,2.7,66.9,3,0.00%,1.9002862,32.0910645,-0.122,0.388
KISORO,Western,"315,400","73,200",416.1,Mixed,16,53,4.3,66.9,5,0.00%,-1.1315182,29.6520996,-0.279,0.311
KYENJOJO,Western,"525,400","114,500",120.3,Town,17,63,4.6,66.9,12,0.00%,0.5163504,30.5749512,-0.6,0.329
MASINDI,Western,"208,420","76,100",124.9,Mixed,17,59,2.7,66.9,6,0.00%,1.5269188,31.6955566,-0.464,0.35
MBARARA,Western,"229,515","96,800",277.6,Mixed,17,66,2.4,54.3,24,0.01%,-0.5163504,30.7287598,0.558,0.454
NTOROKO,Western,"76,000","16,600",58.1,Mixed,15.9,79,4.6,66.9,11,0.01%,0.7800052,30.267334,-0.303,0.357
RUBANDA,Western,"144,600","46,300",302.3,Mixed,16,67.88,3.1,66.9,15,0.01%,-1.1095498,29.7839355,-0.091,0.321
RUBIRIZI,Western,"101,804","32,100",139.6,Mixed,15,67.88,3.2,66.9,6,0.01%,-0.2966295,30.135498,-0.308,0.327
RUKUNGIRI,Western,"275,162","69,535",208.9,Rural,15.8,72,4,66.9,2,0.00%,-0.7800052,30.0036621,-0.18,0.36
SHEEMA,Western,"180,234","48,900",309.1,Mixed,15.9,67.88,3.7,66.9,2,0.00%,-0.6481795,30.2893066,-0.001,0.342
YUMBE,Northern,"663,600","93,600",285.1,Mixed,16.7,55,7.1,66.9,4,0.00%,3.5463174,31.1682129,-0.313,0.339
PADER,Northern,"197,300","34,905",59.75,Mixed,17,63,5.7,66.9,26,0.01%,3.0856655,32.9699707,-0.401,0.345
NWOYA,Northern,"236,000","46,500",50.11,Mixed,15.9,67.88,5.1,66.9,13,0.01%,2.5370123,32.0251465,-0.239,0.358
MOYO,Northern,"109,500","25,894",105.2,Mixed,15.9,53,4.2,66.9,3,0.00%,3.5463174,31.5856934,-0.335,0.338
MOROTO,Northern,"118,500","22,506",33.46,Mixed,15.9,9,5.3,66.9,1,0.00%,2.5370123,34.5739746,-0.464,0.331
LIRA,Northern,"478,500","104,300",362,Mixed,17,56,4.6,70%,1,0.00%,2.0759616,33.1237793,-0.324,0.338
LAMWO,Northern,"143,800","30,800",26.41,Mixed,15.9,72,4.7,66.9,1,0.00%,3.7217452,32.8161621,-0.498,0.354
KOLE,Northern,"284,300","58,000",265.5,Mixed,15.9,67.88,4.9,66.9,1,0.00%,2.3613917,32.6403809,-0.583,0.345
ADJUMANI,Northern,"235,900","43,200",75.75,Mixed,17,58,5.5,66.9,4,0.00%,3.2611771,31.9152832,0.163,0.391
AMURU,Northern,"216,800","45,000",60.39,Mixed,15.9,54.55,4.8,66.9,7,0.00%,2.9540126,31.739502,-0.351,0.349
KALANGALA,Central,"67,200","24,700",141.6,Mixed,15.8,82,2.7,68,1,0.00%,-0.4064907,32.3986816,-0.416,0.348
KARENGA,Northern,"68,500","12,000",21.45,Mixed,15.9,51.15,5.7,66.9,1,0.00%,3.5682478,33.9587402,-0.071,0.338
KASSANDA,Central,"312,700","68,600",162.9,Mixed,15.8,80,4.6,66.9,1,0.00%,0.4284628,31.6955566,-0.277,0.35
KAYUNGA,Central,"407,700","77,405",229.2,Mixed,15.9,70,5.3,66.9,5,0.00%,0.6921218,32.9260254,0.174,0.414
KIKUUBE,Western,"358,700","77,978",171.1,Mixed,15.9,67.88,4.6,66.9,82,0.02%,1.1315182,30.7727051,-0.214,0.333
LUWERO,Central,"523,600","125,500",236.1,Mixed,15.9,82.7,4.2,66.9,3,0.00%,0.6921218,32.5085449,0.093,0.419
LYANTONDE,Central,"110,500","24,100",127.6,Mixed,15.9,67.88,4.6,66.9,1,0.00%,-0.3186019,31.2561035,-0.241,0.339
MASAKA,Central,"335,700","86,200",285,Mixed,16.9,76,3.9,66.9,17,0.01%,-0.6701507,31.7175293,-0.484,0.325
MITYANA,Central,"362,500","91,300",229,Mixed,15.9,67.88,4,66.9,45,0.01%,0.5163504,31.9372559,0.158,0.371
MPIGI,Central,"286,600","71,900",237.6,Mixed,15.9,81,4,66.9,3,0.00%,0.1867672,32.2888184,0.327,0.414
MUBENDE,Central,"554,800","128,900",204.6,Mixed,15.9,64,4.3,66.9,12,0.00%,0.2307123,31.036377,-0.387,0.331
NAKASONGOLA,Central,"215,200","45,100",61.29,Mixed,15.9,65,4.8,66.9,29,0.01%,1.4170918,32.442627,0.096,0.352
OBONGI,Northern,"49,100","8,600",57.96,Mixed,15.9,67.88,5.7,66.9,1,0.00%,3.2831139,31.5197754,-0.464,0.343
PAKWACH,Northern,"196,800","37,500",200.5,Mixed,15.9,50,5.2,66.9,1,0.00%,2.4711573,31.3439941,0.129,0.398
