District,Region,Population,Total House holds,Population densityKms^2,Zonning,Avg Age,literacy rate %,No. of people per house hold,Employment rate,No. of speed tests,tests/populaton,latitude,longitude
Kampala,Central,1659600.0,1475813.0,229.0,urban,15.9,0.75,3.8,69.5,6629.0,0.003994335984574596,0.3177137,32.5813539
Buikwe,Eastern,456100.0,3965.0,366.4,town,16.0,0.75,4.4,65.0,155.0,0.00033983775487831617,0.3031612,33.03908683169079
Gulu,Northern,171878.0,435126.0,89.1,urban,17.0,0.75,4.5,67.4,341.0,0.0019839653707862553,3.0199023,32.38825103502008
Mukono,Central,161996.0,585863.0,379.1,Mixed,17.0,0.75,4.3,66.0,119.0,0.0007345860391614608,-0.052324499999999996,32.7262557476065
Arua,Northern,751000.0,141200.0,323.8,Mixed,15.9,0.55,4.7,71.0,238.0,0.0003169107856191744,3.0014096,31.009352707358268
Mbale,Eastern,586300.0,135000.0,588.3,Mixed,17.0,0.674,4.342962962962963,0.723,44.0,7.5046904315197e-05,0.9766007,34.20220583097499
Soroti,Eastern,363600.0,69900.0,148.3,Mixed,15.9,0.642,5.201716738197425,0.703,2.0,5.500550055005501e-06,1.7879059499999999,33.60681558084007
Bududa,Eastern,271100.0,50000.0,259.5,Mixed,15.9,0.567,5.422,0.625,2.0,7.377351530800443e-06,1.0272416500000001,34.3907986656271
Bugiri,Eastern,480400.0,99200.0,371.5,Mixed,17.0,0.679,4.842741935483871,0.741,3.0,6.244796003330558e-06,0.520721,33.77506982526061
Busia,Eastern,384000.0,80725.0,355.2,Mixed,17.0,0.676,4.756890678228554,0.735,161.0,0.00041927083333333334,0.39171029999999996,34.01601353436425
Iganga,Eastern,402600.0,86300.0,437.6,Mixed,17.0,0.688,4.665121668597914,0.721,2.0,4.967709885742673e-06,0.7221911000000001,33.5016935166769
Jinja,Eastern,515100.0,115400.0,434.7,Mixed,17.0,0.724,4.463604852686308,0.736,178.0,0.00034556396816152205,0.57515665,33.28052985775423
Kaliro,Eastern,288500.0,55700.0,286.6,Mixed,17.0,0.625,5.1795332136445245,0.684,5.0,1.733102253032929e-05,1.08336765,33.482217107339594
Tororo,Eastern,597500.0,118800.0,354.8,Mixed,15.0,0.666,5.029461279461279,0.682,3.0,5.02092050209205e-06,0.74074215,34.102686174797185
Buliisa,Western,149300.0,21602.0,286.4,Rural,15.9,0.72,5.3,78.0,12.0,8.037508372404555e-05,1.92285635,31.391756519067265
Hoima,Western,673900.0,125399.0,113.6,Mixed,17.0,0.68,6.3,65.0,9.0,1.3355097195429588e-05,1.56619265,31.148096770216505
Isingiro,Western,556500.0,101623.0,209.6,Urban,15.9,0.6788,4.7,76.0,4.0,7.187780772686433e-06,-0.83886945,30.935655870563767
Kabale,Western,242500.0,74477.0,140.2,Town,17.0,0.62,4.3,66.9,35.0,0.0001443298969072165,-1.33596665,30.03688600371177
Kabarole,Western,324200.0,107204.0,177.7,Mixed,15.9,0.63,4.0,66.9,42.0,0.0001295496607032696,0.62124925,30.35254466145337
Kagadi,Western,430200.0,74144.0,304.9,Mixed,17.0,67.88,4.7,66.9,2.0,4.649000464900047e-06,1.02297715,30.83308906544608
Kamwenge,Western,477400.0,88967.0,195.7,Rural,15.9,0.63,4.6,66.9,43.0,9.007121910347717e-05,0.3373317,30.61505552172885
Kanungu,Western,268600.0,56056.0,207.9,Mixed,15.9,0.72,4.7,66.9,6.0,2.2338049143708117e-05,-0.7063914499999999,29.71429070568597
Kasese,Western,758500.0,139406.0,223.8,Mixed,15.0,0.68,4.9,66.9,165.0,0.0002175346077785102,0.13095535,30.00462085389341
Kiryandongo,Western,296700.0,52170.0,81.9,Rural,15.9,67.88,5.0,66.9,3.0,1.0111223458038423e-05,1.99357995,32.049817906773065
Kisoro,Western,303600.0,62248.0,416.1,Mixed,16.0,0.53,4.1,66.9,5.0,1.646903820816864e-05,-1.1980545,29.67030799540655
Masindi,Western,322900.0,64820.0,124.9,Mixed,17.0,0.59,4.6,66.9,6.0,1.8581604211830288e-05,1.6917534,31.773752436319583
Mbarara,Western,513200.0,112772.0,277.6,Mixed,17.0,0.66,4.1,54.3,24.0,4.676539360872954e-05,-0.4180848,30.573737377548046
Ntoroko,Western,72800.0,13917.0,58.1,Mixed,15.9,79.0,4.8,66.9,11.0,0.0001510989010989011,0.99117495,30.38536846211147
Rubanda,Western,208500.0,43323.0,302.3,Mixed,16.0,67.88,3.8,66.9,15.0,7.194244604316547e-05,-1.1732021000000001,29.900337985432333
Rubirizi,Western,138900.0,28748.0,139.6,Mixed,15.0,67.88,4.4,66.9,6.0,4.3196544276457885e-05,-0.25579135,29.936499969272575
Rukungiri,Western,327300.0,69535.0,208.9,Rural,15.8,0.72,4.5,66.9,2.0,6.1106018942865875e-06,-0.697403,29.891736366874973
Sheema,Western,216100.0,45812.0,309.1,Mixed,15.9,67.88,4.4,66.9,2.0,9.254974548819991e-06,-0.591872,30.374041677199457
Yumbe,Northern,663600.0,63722.0,285.1,Mixed,16.7,0.55,7.5,66.9,4.0,6.027727546714889e-06,3.4914105500000003,31.285914925830156
Pader,Northern,197300.0,34905.0,59.75,Mixed,17.0,0.63,5.2,66.9,26.0,0.00013177901672579826,2.8876024,32.896285577177395
Nwoya,Northern,236000.0,25114.0,50.11,Mixed,15.9,0.6788,5.0,66.9,13.0,5.508474576271186e-05,2.5286101,31.869513281254072
Moyo,Northern,109500.0,25894.0,105.2,Mixed,15.9,0.53,5.3,66.9,,0.0,3.6658888,31.754108928428966
Moroto,Northern,118500.0,22506.0,33.46,Mixed,15.9,0.09,4.4,66.9,1.0,8.438818565400844e-06,2.6156454499999997,34.639981739983014
Lira,Northern,478500.0,89165.0,362.0,Mixed,17.0,0.56,4.5,0.7,1.0,2.089864158829676e-06,2.2456918,32.896244
Lamwo,Northern,143800.0,27497.0,26.41,Mixed,15.9,0.72,4.9,66.9,1.0,6.954102920723227e-06,3.5248125,32.657627334186714
Kole,Northern,284300.0,49092.0,265.5,Mixed,15.9,67.88,4.9,66.9,1.0,3.5174111853675693e-06,2.29881575,32.73595222337399
Adjumani,Northern,235900.0,17650.0,75.75,Mixed,17.0,0.58,5.5,66.9,4.0,1.6956337431114878e-05,3.23712805,31.785824621769088
Amuru,Northern,216800.0,37899.0,60.39,Mixed,15.9,0.5455,5.0,66.9,7.0,3.2287822878228784e-05,3.1288655,32.102483275412396
Kalangala,Central,67200.0,12750.0,141.6,Mixed,15.8,0.82,2.8,68.0,1.0,1.4880952380952381e-05,-0.61419085,32.375565042956055
Karenga,Northern,68500.0,22833.0,21.45,Mixed,15.9,0.5115,4.6,66.9,1.0,1.4598540145985402e-05,3.7095683,33.77168318834824
Kassanda,Central,312700.0,67978.0,162.9,Mixed,15.8,0.8,4.6,66.9,1.0,3.197953309881676e-06,0.5332718999999999,31.76276190415899
Kayunga,Central,407700.0,77405.0,229.2,Mixed,15.9,0.7,4.7,66.9,5.0,1.226391954868776e-05,0.99240735,32.85923839924101
Kikuube,Western,358700.0,77978.0,171.1,Mixed,15.9,0.6788,4.6,66.9,82.0,0.00022860328965709507,1.3102875,31.000172376232992
Luwero,Central,523600.0,106235.0,236.1,Mixed,15.9,0.827,4.4,66.9,3.0,5.7295645530939646e-06,0.4779014,33.8055239
Lyantonde,Central,110500.0,20839.0,127.6,Mixed,15.9,67.88,4.5,66.9,1.0,9.049773755656109e-06,-0.25959835,31.183637578778217
Masaka,Central,335700.0,75306.0,285.0,Mixed,16.9,0.76,4.5,66.9,17.0,5.0640452785224905e-05,-0.483142,31.8318894741654
Mityana,Central,362500.0,80522.0,229.0,Mixed,15.9,0.6788,3.8,66.9,45.0,0.00012413793103448277,0.45606855,32.07680241736314
Mpigi,Central,286600.0,60256.0,237.6,Mixed,15.9,0.81,4.1,66.9,3.0,1.04675505931612e-05,0.16426525,32.135237073201296
Mubende,Central,554800.0,151985.0,204.6,Mixed,15.9,0.64,4.4,66.9,12.0,2.1629416005767844e-05,0.5154278999999999,31.40954764189936
Nakasongola,Central,215200.0,36526.0,61.29,Mixed,15.9,0.65,4.8,66.9,29.0,0.00013475836431226765,1.3204357999999998,32.48943468857201
Obongi,Northern,49100.0,10673.0,57.96,Mixed,15.9,0.6788,4.6,66.9,1.0,2.0366598778004072e-05,3.36355935,31.536826414161872
Pakwach,Northern,196800.0,427826.0,200.5,Mixed,15.9,0.5,4.6,66.9,1.0,5.08130081300813e-06,2.4679272,31.39739144590164
